HS8 (numeric),Description,General framework , General framework Country exclusions,Enhanced framework ,Least developed countries framework ,Transitional Protection Scheme ,,,,,,,,
44039600,"BIRCH ""BETULA SPP."" IN THE ROUGH OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS UMBRELLAS TOOL SHAFTS AND THE LIKE",0.0%,,0.0%,0%,0%,,,,,,,,
44039700,"POPLAR AND ASPEN ""POPULUS SPP."" IN THE ROUGH WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS UMBRELLAS TOOL SHAFTS AND THE LIKE",0.0%,,0.0%,0%,0%,,,,,,,,
44039800,"EUCALYPTUS ""EUCALYPTUS SPP."" IN THE ROUGH WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS UMBRELLAS TOOL SHAFTS AND THE LIKE",0.0%,,0.0%,0%,0%,,,,,,,,
44039900,WOOD IN THE ROUGH WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS UMBRELLAS TOOL SHAFTS AND THE LIKE,0.0%,,0.0%,0%,0%,,,,,,,,
44041000,HOOPWOOD,0.0%,,0.0%,0%,0%,,,,,,,,
44042000,HOOPWOOD,0.0%,,0.0%,0%,0%,,,,,,,,
44050000,WOOD WOOL,0.0%,,0.0%,0%,0%,,,,,,,,
44061100,"RAILWAY OR TRAMWAY SLEEPERS ""CROSS-TIES"" OF WOOD NOT IMPREGNATED CONIFEROUS",0.0%,,0.0%,0%,0%,,,,,,,,
44061200,"RAILWAY OR TRAMWAY SLEEPERS ""CROSS-TIES"" OF WOOD NOT IMPREGNATED NON-CONIFEROUS",0.0%,,0.0%,0%,0%,,,,,,,,
44069100,"RAILWAY OR TRAMWAY SLEEPERS ""CROSS-TIES"" OF WOOD IMPREGNATED CONIFEROUS",0.0%,,0.0%,0%,0%,,,,,,,,
44069200,"RAILWAY OR TRAMWAY SLEEPERS ""CROSS-TIES"" OF WOOD IMPREGNATED NON-CONIFEROUS",0.0%,,0.0%,0%,0%,,,,,,,,
44071110,"PINE ""PINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44071120,"PINE ""PINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44071190,"PINE ""PINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. END-JOINTED AND PLANED)",0.0%,,0.0%,0%,0%,,,,,,,,
44071210,"FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44071220,"FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44071290,"FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. END-JOINTED AND PLANED)",0.0%,,0.0%,0%,0%,,,,,,,,
44071910,"CONIFEROUS WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED (EXCL. PINE ""PINUS SPP."" FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."")",0.0%,,0.0%,0%,0%,,,,,,,,
44071920,"CONIFEROUS WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. PINE ""PINUS SPP."" FIR ""ABIES SPP."" SPRUCE ""PICEA SPP."" AND END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44071990,"CONIFEROUS WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PINE ""PINUS SPP."" FIR ""ABIES SPP."" SPRUCE ""PICEA SPP."" END-JOINTED AND PLANED)",0.0%,,0.0%,0%,0%,,,,,,,,
44072110,"MAHOGANY ""SWIETENIA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED(2007-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
44072191,"MAHOGANY ""SWIETENIA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44072199,"MAHOGANY ""SWIETENIA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44072210,VIROLA IMBUIA AND BALSA SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED(2007-2500),0.0%,,0.0%,0%,0%,,,,,,,,
44072291,VIROLA IMBUIA AND BALSA SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072299,VIROLA IMBUIA AND BALSA SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072510,DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED,0.0%,,0.0%,0%,0%,,,,,,,,
44072530,DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072550,DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072590,DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. SUCH PRODUCTS PLANED SANDED OR END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072610,WHITE LAUAN WHITE MERANTI WHITE SERAYA YELLOW MERANTI AND ALAN SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED,0.0%,,0.0%,0%,0%,,,,,,,,
44072630,WHITE LAUAN WHITE MERANTI WHITE SERAYA YELLOW MERANTI AND ALAN SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072650,WHITE LAUAN WHITE MERANTI WHITE SERAYA YELLOW MERANTI AND ALAN SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072690,WHITE LAUAN WHITE MERANTI WHITE SERAYA YELLOW MERANTI AND ALAN SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072710,SAPELLI SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED,0.0%,,0.0%,0%,0%,,,,,,,,
44072791,SAPELLI SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072799,SAPELLI SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072810,IROKO SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED,0.0%,,0.0%,0%,0%,,,,,,,,
44072891,IROKO SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072899,IROKO SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072915,"KERUING RAMIN KAPUR TEAK JONGKONG MERBAU JELUTONG KEMPAS OKOUMÃ‰ OBECHE SIPO ACAJOU D'AFRIQUE MAKORÃ‰ TIAMA MANSONIA ILOMBA DIBÃ‰TOU LIMBA AZOBÃ‰ PALISSANDRE DE RIO PALISSANDRE DE PARA PALISSANDRE DE ROSE ABURA AFRORMOSIA AKO ANDIROBA ANINGRÃ‰ AVODIRÃ‰ BALAU BOSSÃ‰ CLAIR BOSSÃ‰ FONCÃ‰ CATIVO CEDRO DABEMA DOUSSIÃ‰ FRAMIRÃ‰ FREIJO FROMAGER FUMA GERONGGANG IPÃ‰ JABOTY JEQUITIBA KOSIPO KOTIBÃ‰ KOTO LOURO MAÃƒÂ§ARANDUBA MAHOGANY (EXCL. ""SWIETENIA SPP."") MANDIOQUEIRA MENGKULANG MERAWAN MERPAUH MERSAWA MOABI NIANGON NYATOH ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA SAQUI-SAQUI SEPETIR SUCUPIRA SUREN TAUARI AND TOLA SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44072920,PALISSANDRE DE RIO PALISSANDRE DE PARA AND PALISSANDRE DE ROSE SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED PLANED OF A THICKNESS OF > 6 MM (EXCL. END-JOINTED),0.0%,,0.0%,0%,0%,,,,,,,,
44072983,"ABURA AFRORMOSIA AKO ANDIROBA ANINGRE AVODIRE BALAU BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG IPE JABOTY JEQUITIBA KOSIPO KOTIBE KOTO LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY (EXCL. ""SWIETENIA SPP."") MANDIOQUEIRA MENGKULANG MERAWAN MERPAUH MERSAWA MOABI NIANGON NYATOH ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA SAQUI-SAQUI SEPETIR SUCUPIRA SUREN TAUARI TOLA KERUING RAMIN KAPUR TEAK JONGKONG MERBAU JELUTONG KEMPAS OKOUME OBECHE SIPO ACAJOU D'AFRIQUE MAKORE TIAMA MANSONIA ILOMBA DIBETOU LIMBA AND AZOBE SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED)(2017-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
44072985,"ABURA AFRORMOSIA AKO ANDIROBA ANINGRE AVODIRE BALAU BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG IPE JABOTY JEQUITIBA KOSIPO KOTIBE KOTO LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY (EXCL. ""SWIETENIA SPP."") MANDIOQUEIRA MENGKULANG MERAWAN MERPAUH MERSAWA MOABI NIANGON NYATOH ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA SAQUI-SAQUI SEPETIR SUCUPIRA SUREN TAUARI TOLA KERUING RAMIN KAPUR TEAK JONGKONG MERBAU JELUTONG KEMPAS OKOUME OBECHE SIPO ACAJOU D'AFRIQUE MAKORE TIAMA MANSONIA ILOMBA DIBETOU LIMBA AZOBE PALISSANDRE DE RIO PALISSANDRE DE PARA AND PALISSANDRE DE ROSE SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED AND PLANED)(2017-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
44072995,"ABURA AFRORMOSIA AKO ANDIROBA ANINGRE AVODIRE BALAU BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG IPE JABOTY JEQUITIBA KOSIPO KOTIBE KOTO LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY (EXCL. ""SWIETENIA SPP."") MANDIOQUEIRA MENGKULANG MERAWAN MERPAUH MERSAWA MOABI NIANGON NYATOH ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA SAQUI-SAQUI SEPETIR SUCUPIRA SUREN TAUARI TOLA KERUING RAMIN KAPUR TEAK JONGKONG MERBAU JELUTONG KEMPAS OKOUME OBECHE SIPO ACAJOU D'AFRIQUE MAKORE TIAMA MANSONIA ILOMBA DIBETOU LIMBA AZOBE PALISSANDRE DE RIO PALISSANDRE DE PARA AND PALISSANDRE DE ROSE SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. END-JOINTED PLANED AND SANDED)(2017-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
44072996,TROPICAL WOOD SAWN OR CUT LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED (EXCL. ABURA ACAJOU D'AFRIQUE AFRORMOSIA AKO ALAN ANDIROBA ANINGRE AVODIRE AZOBE BALAU BALSA BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DARK RED MERANTI DIBETOU DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG ILOMBA IMBUIA IPE IROKO JABOTY JELUTONG JEQUITIBA JONGKONG KAPUR KEMPAS KERUING KOSIPO KOTIBE KOTO LIGHT RED MERANTI LIMBA LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY MAKORE MANDIOQUEIRA MANSONIA MENGKULANG MERANTI BAKAU MERAWAN MERBAU MERPAUH MERSAWA MOABI NIANGON NYATOH OBECHE OKOUME ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PALISSANDRE DE PARA PALISSANDRE DE RIO PALISSANDRE DE ROSE PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA RAMIN SAPELLI SAQUI-SAQUI SEPETIR SIPO SUCUPIRA SUREN TAUARI TEAK TIAMA TOLA VIROLA WHITE LAUAN WHITE MERANTI WHITE SERAYA AND YELLOW MERANTI),0.0%,,0.0%,0%,0%,,,,,,,,
44072997,TROPICAL WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. PLANED END-JOINTED AND ABURA ACAJOU D'AFRIQUE AFRORMOSIA AKO ALAN ANDIROBA ANINGRE AVODIRE AZOBE BALAU BALSA BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DARK RED MERANTI DIBETOU DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG ILOMBA IMBUIA IPE IROKO JABOTY JELUTONG JEQUITIBA JONGKONG KAPUR KEMPAS KERUING KOSIPO KOTIBE KOTO LIGHT RED MERANTI LIMBA LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY MAKORE MANDIOQUEIRA MANSONIA MENGKULANG MERANTI BAKAU MERAWAN MERBAU MERPAUH MERSAWA MOABI NIANGON NYATOH OBECHE OKOUME ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PALISSANDRE DE PARA PALISSANDRE DE RIO PALISSANDRE DE ROSE PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA RAMIN SAPELLI SAQUI-SAQUI SEPETIR SIPO SUCUPIRA SUREN TAUARI TEAK TIAMA TOLA VIROLA WHITE LAUAN WHITE MERANTI WHITE SERAYA AND YELLOW MERANTI),0.0%,,0.0%,0%,0%,,,,,,,,
44072998,TROPICAL WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED END-JOINTED AND ABURA ACAJOU D'AFRIQUE AFRORMOSIA AKO ALAN ANDIROBA ANINGRE AVODIRE AZOBE BALAU BALSA BOSSE CLAIR BOSSE FONCE CATIVO CEDRO DABEMA DARK RED MERANTI DIBETOU DOUSSIE FRAMIRE FREIJO FROMAGER FUMA GERONGGANG ILOMBA IMBUIA IPE IROKO JABOTY JELUTONG JEQUITIBA JONGKONG KAPUR KEMPAS KERUING KOSIPO KOTIBE KOTO LIGHT RED MERANTI LIMBA LOURO MAâ”œÃ‚â”¬ÂºARANDUBA MAHOGANY MAKORE MANDIOQUEIRA MANSONIA MENGKULANG MERANTI BAKAU MERAWAN MERBAU MERPAUH MERSAWA MOABI NIANGON NYATOH OBECHE OKOUME ONZABILI OREY OVENGKOL OZIGO PADAUK PALDAO PALISSANDRE DE GUATEMALA PALISSANDRE DE PARA PALISSANDRE DE RIO PALISSANDRE DE ROSE PAU AMARELO PAU MARFIM PULAI PUNAH QUARUBA RAMIN SAPELLI SAQUI-SAQUI SEPETIR SIPO SUCUPIRA SUREN TAUARI TEAK TIAMA TOLA VIROLA WHITE LAUAN WHITE MERANTI WHITE SERAYA AND YELLOW MERANTI),0.0%,,0.0%,0%,0%,,,,,,,,
44079115,"OAK ""QUERCUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079131,"BLOCKS STRIPS AND FRIEZES OF OAK ""QUERCUS SPP."" FOR PARQUET OR WOOD BLOCK FLOORING NOT ASSEMBLED OF A THICKNESS OF > 6 MM PLANED (EXCL. VENEERED OR OF PLYWOOD)",0.0%,,0.0%,0%,0%,,,,,,,,
44079139,"OAK ""QUERCUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED (EXCL. END-JOINTED AND BLOCKS STRIPS AND FRIEZES FOR PARQUET OR WOOD BLOCK FLOORING)",0.0%,,0.0%,0%,0%,,,,,,,,
44079190,"OAK ""QUERCUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079200,"BEECH ""FAGUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED WHETHER OR NOT PLANED SANDED OR END-JOINTED OF A THICKNESS OF > 6 MM",0.0%,,0.0%,0%,0%,,,,,,,,
44079310,"MAPLE ""ACER SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079391,"MAPLE ""ACER SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079399,"MAPLE ""ACER SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079410,"CHERRY ""PRUNUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079491,"CHERRY ""PRUNUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079499,"CHERRY ""PRUNUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079510,"ASH ""FRAXINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079591,"ASH ""FRAXINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079599,"ASH ""FRAXINUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079610,"BIRCH ""BETULA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079691,"BIRCH ""BETULA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079699,"BIRCH ""BETULA SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079710,"POPLAR AND ASPEN ""POPULUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED",0.0%,,0.0%,0%,0%,,,,,,,,
44079791,"POPLAR AND ASPEN ""POPULUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM SANDED (EXCL. END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079799,"POPLAR AND ASPEN ""POPULUS SPP."" SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED)",0.0%,,0.0%,0%,0%,,,,,,,,
44079927,"WOOD SAWN OR CUT LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM PLANED OR END-JOINTED WHETHER OR NOT PLANED OR SANDED (EXCL. TROPICAL WOOD CONIFEROUS WOOD OAK ""QUERCUS SPP."" BEECH ""FAGUS SPP."" MAPLE ""ACER SPP."" CHERRY ""PRUNUS SPP."" ASH ""FRAXINUS SPP."" BIRCH ""BETULA SPP."" POPLAR AND ASPEN ""POPULUS SPP."")(2017-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
44079940,WOOD SAWN OR CUT LENGTHWISE SLICED OR PEELED SANDED OF A THICKNESS OF > 6 MM (EXCL. END-JOINTED,0.0%,,0.0%,0%,0%,,,,,,,,
44079990,WOOD SAWN OR CHIPPED LENGTHWISE SLICED OR PEELED OF A THICKNESS OF > 6 MM (EXCL. PLANED SANDED OR END-JOINTED,0.0%,,0.0%,0%,0%,,,,,,,,
44081015,SHEETS FOR VENEERING INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD FOR CONIFEROUS PLYWOOD OR FOR OTHER SIMILAR LAMINATED CONIFEROUS WOOD AND OTHER CONIFEROUS WOOD SAWN LENGTHWISE SLICED OR PEELED OF A THICKNESS OF <= 6 MM PLANED SANDED OR END-JOINTED,0.0%,,0.0%,0%,0%,,,,,,,,
44081091,SMALL BOARDS FOR THE MANUFACTURE OF PENCILS OF CONIFEROUS WOOD OF A THICKNESS OF <= 6 MM,0.0%,,0.0%,0%,0%,,,,,,,,
44081098,SHEETS FOR VENEERING INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD FOR CONIFEROUS PLYWOOD OR FOR OTHER SIMILAR LAMINATED CONIFEROUS WOOD AND OTHER CONIFEROUS WOOD SAWN LENGTHWISE SLICED OR PEELED WHETHER OR NOT SPLICED OF A THICKNESS OF <= 6 MM (EXCL. PLANED SANDED OR END-JOINTED AND SMALL BOARDS FOR THE MANUFACTURE OF PENCILS),0.0%,,0.0%,0%,0%,,,,,,,,
44083111,SHEETS FOR VENEERING INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD FOR PLYWOOD OR FOR OTHER SIMILAR LAMINATED WOOD AND OTHER WOOD SAWN LENGTHWISE SLICED OR PEELED OF A THICKNESS OF <= 6 MM END-JOINTED WHETHER OR NOT PLANED OR SANDED OF DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU,0.0%,,0.0%,0%,0%,,,,,,,,
44083121,SHEETS FOR VENEERING INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD FOR PLYWOOD OR FOR OTHER SIMILAR LAMINATED WOOD AND OTHER WOOD SAWN LENGTHWISE SLICED OR PEELED OF A THICKNESS OF <= 6 MM PLANED OF DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU (EXCL. END-JOINTED)(2002-2500),0.0%,,0.0%,0%,0%,,,,,,,,
44083125,SHEETS FOR VENEERING INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD FOR PLYWOOD OR FOR OTHER SIMILAR LAMINATED WOOD AND OTHER WOOD SAWN LENGTHWISE SLICED OR PEELED OF A THICKNESS OF <= 6 MM SANDED OF DARK RED MERANTI LIGHT RED MERANTI AND MERANTI BAKAU (EXCL. END-JOINTED)(2002-2500),0.0%,,0.0%,0%,0%,,,,,,,,
